Date,Symbol,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-02-03,AAPL,142.472,155.742,139.849,152.892,350359900,0.0,0.0
2023-02-10,AAPL,150.982,153.615,147.893,149.667,330758800,0.23,0.0
2023-02-17,AAPL,149.607,154.939,149.508,151.193,316792400,0.0,0.0
2023-02-24,AAPL,148.864,149.954,144.424,145.405,213742300,0.0,0.0
2023-03-03,AAPL,146.396,149.766,142.62,149.686,273994900,0.0,0.0
2023-03-10,AAPL,152.422,154.91,146.297,147.179,313350800,0.0,0.0
2023-03-17,AAPL,146.495,155.346,146.386,153.621,410426600,0.0,0.0
2023-03-24,AAPL,153.691,160.698,152.779,158.824,350100100,0.0,0.0
2023-03-31,AAPL,158.517,163.532,154.592,163.433,267939700,0.0,0.0
2023-04-07,AAPL,162.809,165.356,160.361,163.195,200156300,0.0,0.0
2023-04-14,AAPL,159.984,164.84,158.359,163.74,263326300,0.0,0.0
2023-04-21,AAPL,163.621,166.664,162.571,163.552,249953100,0.0,0.0
2023-04-28,AAPL,163.532,168.339,161.352,168.171,256274000,0.0,0.0
2023-05-05,AAPL,167.774,172.75,162.848,172.026,360586400,0.0,0.0
2023-05-12,AAPL,170.946,173.037,169.713,171.271,250026700,0.24,0.0
2023-05-19,AAPL,171.857,175.063,169.138,173.842,258597700,0.0,0.0
2023-05-26,AAPL,172.671,174.447,169.237,174.11,250355000,0.0,0.0
2023-06-02,AAPL,175.628,180.412,175.241,179.588,286437400,0.0,0.0
2023-06-09,AAPL,181.256,183.558,175.986,179.598,347825100,0.0,0.0
2023-06-16,AAPL,179.906,185.583,179.608,183.529,333335700,0.0,0.0
2023-06-23,AAPL,183.022,186.149,181.216,185.275,203639400,0.0,0.0
2023-06-30,AAPL,185.424,193.017,183.836,192.51,281453200,0.0,0.0
2023-07-07,AAPL,192.322,192.421,187.776,189.245,170250800,0.0,0.0
2023-07-14,AAPL,187.836,190.258,185.196,189.255,250226700,0.0,0.0
2023-07-21,AAPL,190.456,196.738,189.791,190.496,310880300,0.0,0.0
2023-07-28,AAPL,191.955,195.716,190.803,194.356,225884500,0.0,0.0
2023-08-04,AAPL,194.585,195.25,180.551,180.621,301423400,0.0,0.0
2023-08-11,AAPL,180.76,181.752,175.458,176.69,332452600,0.24,0.0
2023-08-18,AAPL,176.869,178.579,170.897,173.411,261440200,0.0,0.0
2023-08-25,AAPL,173.987,180.427,172.666,177.505,247514300,0.0,0.0
2023-09-01,AAPL,178.976,188.745,177.446,188.288,264165600,0.0,0.0
2023-09-08,AAPL,187.116,188.805,172.467,177.078,305075900,0.0,0.0
2023-09-15,AAPL,178.956,179.185,172.506,173.928,403692100,0.0,0.0
2023-09-22,AAPL,175.389,178.589,172.785,173.709,297294000,0.0,0.0
2023-09-29,AAPL,173.123,175.876,166.583,170.151,285792000,0.0,0.0
2023-10-06,AAPL,170.161,176.889,169.764,176.392,260531400,0.0,0.0
2023-10-13,AAPL,175.717,181.212,174.713,177.744,241810100,0.0,0.0
2023-10-20,AAPL,175.657,177.973,171.572,171.811,288323000,0.0,0.0
2023-10-27,AAPL,169.853,172.934,164.645,167.18,286078100,0.0,0.0
2023-11-03,AAPL,167.975,176.681,166.862,175.558,310010400,0.0,0.0
2023-11-10,AAPL,175.289,185.66,175.12,185.491,303608500,0.24,0.0
